LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707823642.153018,45358.000,4526,3,PI,1,100,170380
1707823642.192210,45396.000,4526,3,PI,1,100,170407
1707823642.232434,45435.000,4546,5,PI,1,100,170474
1707823642.272658,45474.000,4546,5,PI,1,100,170536
1707823642.312881,45513.000,4546,5,PI,1,100,170607
1707823642.353105,45552.000,4546,5,PI,1,100,170670
1707823642.393329,45591.000,4546,5,PI,1,100,170723
1707823642.434068,45630.500,4562,2,PI,1,100,170780
1707823642.474808,45670.000,4562,2,PI,1,100,170838
1707823642.515031,45709.000,4579,3,PI,1,100,170884
1707823642.555255,45748.000,4579,3,PI,1,100,170948
1707823642.595479,45787.000,4579,3,PI,1,100,171025
1707823642.635703,45826.000,4596,2,PI,1,100,171064
1707823642.675926,45865.000,4596,2,PI,1,100,170962
1707823642.715119,45903.000,4613,3,PI,1,100,170665
1707823642.754311,45941.000,4613,3,PI,1,100,170485
1707823642.793504,45979.000,4613,3,PI,1,100,170420
1707823642.833040,46017.333,4627,3,PI,1,100,170396
1707823642.872576,46055.667,4627,3,PI,1,100,170378
1707823642.912112,46094.000,4627,3,PI,1,100,170410
1707823642.952336,46133.000,4645,3,PI,1,100,170481
1707823642.992560,46172.000,4645,3,PI,1,100,170498
1707823643.032783,46211.000,4645,3,PI,1,100,170524
1707823643.073695,46250.667,4663,3,PI,1,100,170568
1707823643.114606,46290.333,4663,3,PI,1,100,170628
1707823643.155517,46330.000,4663,3,PI,1,100,170686
