category,condition,item,stim,edv,t,metric,y
narrative_order,end,benz,LATE_MB.mp4,HR,9,norm,-0.176430228999182
narrative_order,end,benz,LATE_MB.mp4,ACC,10,norm,-0.0862284890938434
narrative_order,end,benz,LATE_MB.mp4,EA,10,norm,1.26741692288425
narrative_order,end,benz,LATE_MB.mp4,HR,10,norm,0.11431014649015
narrative_order,end,benz,LATE_MB.mp4,ACC,11,norm,-0.208918163642883
narrative_order,end,benz,LATE_MB.mp4,EA,11,norm,1.58171563962467
narrative_order,end,benz,LATE_MB.mp4,HR,11,norm,-0.402121358001375
narrative_order,end,benz,LATE_MB.mp4,ACC,12,norm,-0.133073245790119
narrative_order,end,benz,LATE_MB.mp4,EA,12,norm,1.88273637979902
narrative_order,end,benz,LATE_MB.mp4,HR,12,norm,-0.834506979307303
narrative_order,end,benz,LATE_MB.mp4,ACC,13,norm,-0.228455842568176
narrative_order,end,benz,LATE_MB.mp4,EA,13,norm,2.05849214821644
narrative_order,end,benz,LATE_MB.mp4,HR,13,norm,-1.66649380611432
narrative_order,end,benz,LATE_MB.mp4,ACC,14,norm,-0.182030262045326
narrative_order,end,benz,LATE_MB.mp4,EA,14,norm,2.01068385997655
narrative_order,end,benz,LATE_MB.mp4,HR,14,norm,-1.23617348488719
narrative_order,end,benz,LATE_MB.mp4,ACC,15,norm,-0.112799965588699
narrative_order,end,benz,LATE_MB.mp4,EA,15,norm,1.74225688232458
narrative_order,end,benz,LATE_MB.mp4,HR,15,norm,-1.42620046905826
narrative_order,end,benz,LATE_MB.mp4,ACC,16,norm,-0.116096199944564
narrative_order,end,benz,LATE_MB.mp4,EA,16,norm,1.55746589122835
narrative_order,end,benz,LATE_MB.mp4,HR,16,norm,-1.49341838664876
narrative_order,end,benz,LATE_MB.mp4,ACC,17,norm,-0.0644054723376032
narrative_order,end,benz,LATE_MB.mp4,EA,17,norm,1.41302731370957
narrative_order,end,benz,LATE_MB.mp4,HR,17,norm,-1.45672774850106
narrative_order,end,benz,LATE_MB.mp4,ACC,18,norm,-0.0140585725431844
narrative_order,end,benz,LATE_MB.mp4,EA,18,norm,1.280428820264
